"Locus" "Allele" "13.JablonnaNE" "14.OtwockSE" "16.KampinosNW" "17.KonstancinSW"
1 186 0.1 0.021 0 0
1 188 0.06 0 0.078 0.048
1 190 0.02 0.125 0.063 0.024
1 192 0.08 0.021 0.141 0.5
1 194 0.24 0.063 0.234 0.286
1 196 0.4 0.292 0.328 0.119
1 198 0.08 0.479 0.109 0.024
1 200 0.02 0 0.047 0
1 204 0 0 0 0
2 88 0 0 0.047 0
2 91 0.02 0.021 0.063 0.095
2 94 0.22 0.146 0.266 0.095
2 97 0.42 0.167 0.359 0.571
2 100 0.02 0.438 0.156 0.071
2 103 0 0 0 0
2 109 0.08 0 0.031 0.024
2 112 0.08 0 0.031 0.095
2 115 0.02 0.208 0 0
2 118 0.14 0.021 0.047 0.048
3 152 0 0.063 0 0
3 156 0 0 0 0
3 164 1 0.938 1 1
3 204 0 0 0 0
3 206 0 0 0 0
4 361 0.06 0.063 0.078 0
4 365 0 0 0 0
4 369 0 0 0 0
4 377 0.02 0.083 0.016 0.095
4 381 0.46 0.354 0.531 0.381
4 385 0.18 0.271 0.203 0.333
4 389 0.08 0 0.094 0.071
4 393 0.1 0.208 0.016 0.095
4 397 0.1 0 0.063 0
4 441 0 0 0 0.024
4 501 0 0.021 0 0
5 112 0 0 0.016 0
5 116 0 0 0.016 0
5 137 0.04 0 0.031 0
5 140 0.02 0.229 0.063 0.238
5 143 0.36 0.229 0.313 0.5
5 146 0.28 0.042 0.203 0.048
5 149 0.1 0.083 0.234 0.143
5 152 0.2 0.417 0.125 0.071
5 155 0 0 0 0
6 102 0 0 0 0
6 108 0 0.042 0 0
6 110 0 0.021 0.016 0.119
6 112 0.2 0.292 0.156 0.262
6 114 0.68 0.396 0.641 0.429
6 116 0.02 0.146 0.094 0.143
6 118 0 0.021 0.078 0
6 120 0.06 0.063 0 0.048
6 122 0 0.021 0.016 0
6 130 0.04 0 0 0
7 218 0 0 0 0
7 222 0.02 0 0 0
7 226 0.1 0.146 0.188 0.079
7 230 0.26 0.292 0.469 0.132
7 234 0.32 0.375 0.063 0.368
7 238 0.3 0.167 0.172 0.395
7 242 0 0.021 0.109 0.026
7 246 0 0 0 0
8 84 0 0.125 0.078 0.048
8 92 0.06 0.083 0.063 0.071
8 94 0.06 0 0.016 0.048
8 96 0.04 0.083 0.031 0
8 98 0.16 0.188 0.281 0.262
8 100 0.2 0.042 0.141 0.143
8 102 0.36 0.208 0.109 0.19
8 104 0.1 0.063 0.156 0.071
8 106 0.02 0.021 0.125 0.048
8 108 0 0 0 0.071
8 110 0 0.063 0 0.024
8 112 0 0.125 0 0.024
9 324 0 0 0.047 0.071
9 338 0 0.167 0 0
9 340 0 0.063 0 0.167
9 342 0.04 0.063 0 0.024
9 344 0.04 0.083 0.188 0.071
9 346 0.02 0.021 0.031 0.071
9 348 0.22 0.083 0.094 0.071
9 350 0.14 0.042 0.094 0.071
9 352 0.2 0.104 0.063 0
9 354 0.08 0.188 0.094 0.095
9 356 0.04 0.021 0.078 0.286
9 358 0.02 0.021 0.078 0.024
9 360 0 0.083 0.031 0
9 362 0.04 0.021 0.016 0
9 364 0.12 0.042 0.078 0.048
9 366 0 0 0 0
9 368 0 0 0.016 0
9 370 0 0 0 0
9 372 0 0 0.063 0
9 374 0.02 0 0 0
9 376 0 0 0.031 0
9 378 0 0 0 0
9 380 0 0 0 0
9 382 0 0 0 0
9 384 0.02 0 0 0
10 157 0 0 0.016 0
10 159 0.02 0 0.016 0.024
10 161 0.12 0.104 0.063 0.143
10 163 0.32 0.25 0.266 0.238
10 165 0.18 0.146 0.375 0.143
10 167 0.24 0.208 0.172 0.167
10 169 0.08 0.229 0.094 0.214
10 171 0.04 0 0 0.024
10 173 0 0.042 0 0.048
10 175 0 0.021 0 0
10 177 0 0 0 0
10 179 0 0 0 0
11 200 0.62 0.625 0.391 0.381
11 216 0.06 0.021 0.047 0
11 218 0.02 0 0.219 0.167
11 220 0.06 0 0.063 0
11 222 0.16 0.021 0.078 0.095
11 224 0 0 0 0
11 226 0 0 0 0
11 228 0.02 0.021 0.063 0.048
11 230 0 0 0 0.071
11 232 0.04 0.042 0 0.071
11 234 0 0.229 0 0.143
11 236 0 0.042 0.094 0
11 238 0 0 0 0.024
11 240 0.02 0 0.031 0
11 242 0 0 0.016 0
11 248 0 0 0 0
11 260 0 0 0 0
12 257 0.021 0 0 0
12 261 0.021 0.125 0.016 0.026
12 263 0.021 0.042 0.078 0.289
12 265 0.188 0.146 0.328 0.079
12 267 0.521 0.333 0.141 0.368
12 269 0.042 0.25 0.109 0.132
12 271 0.188 0.083 0.328 0.105
12 273 0 0.021 0 0
12 275 0 0 0 0
13 158 0.78 0.583 0.875 0.524
13 172 0.1 0 0.047 0
13 178 0 0 0 0
13 180 0 0.021 0.031 0.167
13 182 0 0 0 0.024
13 184 0.12 0.125 0.016 0.048
13 186 0 0.125 0.016 0.024
13 188 0 0.146 0 0.19
13 190 0 0 0.016 0
13 192 0 0 0 0.024
14 188 0 0 0 0
14 228 0.063 0 0 0
14 230 0 0 0.048 0
14 232 0 0.063 0.048 0.024
14 234 0 0.333 0.032 0.167
14 236 0.313 0.208 0.032 0.167
14 238 0.042 0.146 0.145 0.071
14 240 0.167 0.063 0.242 0.119
14 242 0.25 0.083 0.177 0.119
14 244 0.021 0 0.097 0.143
14 246 0.063 0.083 0.129 0.19
14 248 0.021 0 0.048 0
14 252 0.063 0.021 0 0
